-2.21,-0.15,9.61
-1.66,0.35,9.69
-0.96,0.44,9.74
-0.68,0.17,9.84
-0.14,0.15,9.84
0.22,0.30,9.89
-0.11,0.31,9.88
-0.34,0.51,9.81
-0.21,0.46,9.84
-0.16,0.08,9.86
-0.56,0.02,9.80
-1.18,0.32,9.72
-1.56,0.49,9.65
-2.21,0.01,9.59
-2.04,-0.28,9.65
-1.50,-0.33,9.64
-1.53,0.04,9.68
-0.96,0.30,9.75
-0.41,0.27,9.79
-0.33,0.36,9.79
-1.30,0.17,9.72
-1.75,-0.00,9.64
-1.64,-0.41,9.62
-1.80,-0.17,9.65
-2.11,-0.25,9.67
-1.91,-0.13,9.61
-1.29,0.25,9.73
-0.74,0.48,9.78
-0.52,0.45,9.79
-1.08,0.11,9.81
-1.50,0.05,9.70
-1.54,0.37,9.71
-1.34,0.17,9.67
-1.23,-0.07,9.66
-1.05,0.12,9.76
-0.70,0.05,9.81
-0.71,0.00,9.75
-1.06,-0.33,9.76
-1.41,-0.30,9.70
-1.62,0.03,9.69
-1.38,0.35,9.73
-1.52,0.25,9.77
-1.57,0.02,9.62
-1.61,-0.04,9.63
-1.17,0.28,9.69
-0.41,0.23,9.82
-0.59,-0.01,9.76
-0.88,-0.24,9.83
-1.18,-0.22,9.85
-0.95,-0.32,9.71
-0.68,-0.33,9.75
-0.18,0.14,9.84
0.75,0.75,10.04
0.53,0.67,9.34
-0.72,-0.45,9.84
-1.00,-0.84,9.73
-1.25,-0.62,9.69
-1.33,-0.13,9.73
-1.20,0.07,9.88
-1.17,0.01,9.84
-1.16,0.22,9.76
-1.33,0.26,9.71
-1.72,0.10,9.53
-1.85,-0.22,9.49
-1.22,-0.04,9.93
-0.88,-0.07,9.83
-0.57,0.00,9.78
-0.12,0.30,9.76
-0.32,0.23,9.75
-0.76,-0.08,9.85
-1.35,-0.24,9.68
-1.26,-0.36,9.73
-0.98,0.05,9.78
-0.95,-0.06,9.68
-0.48,-0.28,9.74
0.01,-0.22,9.81
-0.07,0.13,9.99
-1.02,0.20,9.79
-1.78,0.13,9.60
-2.19,0.05,9.71
-2.22,0.07,9.71
-2.01,0.00,9.61
-1.53,-0.01,9.52
-1.04,0.15,9.74
-0.88,0.09,9.70
-1.08,-0.03,9.68
-1.44,0.03,9.75
-1.83,0.10,9.99
-2.18,-0.12,9.31
-2.48,-0.30,9.42
-2.14,0.44,9.56
-0.31,0.79,9.84
0.93,0.60,9.96
0.90,0.18,10.00
-0.02,-0.04,9.92
-0.23,0.03,9.82
0.33,0.23,9.97
0.55,0.18,9.92
0.12,0.25,9.87
-0.99,0.07,9.74
-1.82,-0.00,9.66
-2.52,-0.10,9.65
-2.35,-0.20,9.62
-1.99,-0.01,9.52
-1.30,0.22,9.75
-0.90,0.27,9.73
-1.45,-0.12,9.71
-1.76,-0.23,9.69
-1.49,-0.10,9.69
-1.10,0.03,9.64
-0.50,0.21,9.80
-0.16,0.19,9.85
-0.51,0.00,9.80
-0.87,-0.14,9.80
-1.07,-0.15,9.76
-1.30,-0.06,9.73
-1.56,0.03,9.64
-1.57,0.24,9.73
-1.02,0.32,9.75
-1.55,-0.10,9.65
-1.73,-0.30,9.63
-1.77,-0.13,9.53
-1.38,-0.20,9.64
-0.96,-0.03,9.85
-0.96,0.22,10.02
-0.39,0.34,9.89
-0.02,0.29,9.84
-0.01,0.41,9.83
-0.11,0.28,9.79
-0.81,0.00,9.74
-1.21,-0.15,9.67
-1.30,-0.18,9.69
-1.24,-0.08,9.77
-1.11,0.06,9.79
-1.06,-0.07,9.66
-1.27,0.01,9.73
-1.51,-0.11,9.65
-1.85,-0.34,9.64
-2.09,-0.36,9.63
-1.75,-0.22,9.60
-1.51,0.11,9.63
